X,Y,Z,Yaw,Pitch,Roll
0.436631429,-0.082462857,-0.154182857,8.29E+01,4.69E+00,-1.89E+00
0.414049791,-7.88E-02,-0.148627529,82.86926766,4.66E+00,-1.82E+00
0.391828984,-0.075148476,-0.143193437,82.82120637,4.63E+00,-1.76E+00
0.369966786,-0.071576688,-0.137879658,82.77379829,4.60E+00,-1.70E+00
0.348460974,-0.06806137,-0.132685271,82.72703985,4.57E+00,-1.65E+00
0.327309328,-0.064602171,-0.127609352,82.68092751,4.544015873,-1.586031746
0.306509624,-0.061198742,-0.122650979,82.63545771,4.51E+00,-1.53E+00
0.286059641,-0.057850732,-0.117809229,82.5906269,4.485501587,-1.469003175
0.265957156,-0.054557792,-0.113083181,82.54643151,4.46E+00,-1.41E+00
0.246199949,-0.051319571,-0.10847191,82.502868,4.4278,-1.3536
0.226785796,-0.048135721,-0.103974496,82.4599328,4.40E+00,-1.30E+00
0.207712476,-0.04500589,-0.099590015,82.41762237,4.37E+00,-1.24E+00
0.188977767,-0.04192973,-0.095317544,82.37593314,4.342771429,-1.183542857
0.170579447,-0.03890689,-0.091156162,82.33486157,4.31E+00,-1.13E+00
0.152515294,-0.03593702,-0.087104945,82.29440408,4.29E+00,-1.07E+00
0.134783086,-0.033019771,-0.083162971,82.25455714,4.26E+00,-1.02E+00
0.1173806,-0.030154793,-0.079329318,82.21531719,4.23E+00,-9.62E-01
0.100305616,-0.027341736,-0.075603063,82.17668066,4.205120635,-0.90824127
0.08355591,-0.02458025,-0.071983283,82.138644,4.18E+00,-8.54E-01
0.067129262,-0.021869984,-0.068469056,82.10120366,4.15148254,-0.800965079
0.051023448,-0.01921059,-0.06505946,82.06435608,4.124968254,-0.747936508
0.035236248,-0.016601718,-0.061753571,82.02809771,4.10E+00,-6.95E-01
0.019765438,-0.014043017,-0.058550467,81.99242499,4.07E+00,-6.43E-01
0.004608798,-0.011534138,-0.055449226,81.95733437,4.05E+00,-5.91E-01
-0.010235896,-0.00907473,-0.052448925,81.92282229,4.020942857,-0.539885714
-0.024770864,-0.006664444,-0.049548642,81.88888519,3.995444444,-0.488888889
-0.03899833,-0.004302931,-0.046747454,81.85551951,3.970149206,-0.438298413
-0.052920514,-0.00198984,-0.044044438,81.82272171,3.95E+00,-3.88E-01
-0.066539639,0.000275179,-0.041438672,81.79048823,3.92E+00,-3.38E-01
-0.079857927,0.002492476,-0.038929234,81.75881551,3.90E+00,-2.89E-01
-0.0928776,0.0046624,-0.0365152,81.7277,3.87E+00,-2.40E-01
-0.10560088,0.006785301,-0.034195649,81.69713814,3.85E+00,-1.91E-01
-0.118029988,0.00886153,-0.031969657,81.66712637,3.822644444,-0.143288889
-0.130167148,0.010891435,-0.029836303,81.63766114,3.80E+00,-9.55E-02
-0.14201458,0.012875367,-0.027794663,81.6087389,3.78E+00,-4.82E-02
-0.153574507,0.014813676,-0.025843815,81.58035608,3.75E+00,-1.27E-03
-0.164849151,0.016706712,-0.023982837,81.55250914,3.73E+00,4.53E-02
-0.175840734,0.018554824,-0.022210806,81.52519452,3.705311111,0.091377778
-0.186551477,0.020358362,-0.020526799,81.49840866,3.682453968,0.137092063
-0.196983603,0.022117677,-0.018929894,81.472148,3.66E+00,1.82E-01
-0.207139334,0.023833117,-0.017419169,81.44640899,3.637349206,0.227301587
-0.217020892,0.025505034,-0.0159937,81.42118808,3.615101587,0.271796825
-0.226630498,0.027133776,-0.014652566,81.39648171,3.59E+00,3.16E-01
-0.235970375,0.028719695,-0.013394843,81.37228633,3.571215873,0.359568254
-0.245042744,0.030263138,-0.01221961,81.34859837,3.55E+00,4.03E-01
-0.253849829,0.031764457,-0.011125943,81.32541429,3.53E+00,4.46E-01
-0.262393849,0.033224001,-0.01011292,81.30273052,3.51E+00,4.88E-01
-0.270677029,0.034642121,-0.009179619,81.28054351,3.49E+00,5.30E-01
-0.278701589,0.036019165,-0.008325116,81.25884971,3.47E+00,5.72E-01
-0.286469752,0.037355485,-0.00754849,81.23764557,3.444434921,0.613130159
-0.293983739,0.038651429,-0.006848818,81.21692751,3.424015873,0.653968254
-0.301245773,0.039907347,-0.006225178,81.196692,3.40E+00,6.94E-01
-0.308258075,0.04112359,-0.005676646,81.17693547,3.383787302,0.734425397
-0.315022868,0.042300508,-0.0052023,81.15765437,3.36E+00,7.74E-01
-0.321542373,0.043438449,-0.004801218,81.13884514,3.34E+00,8.13E-01
-0.327818813,0.044537765,-0.004472477,81.12050423,3.32E+00,8.52E-01
-0.33385441,0.045598805,-0.004215155,81.10262808,3.305768254,0.890463492
-0.339651385,0.046621918,-0.004028328,81.08521314,3.29E+00,9.28E-01
-0.34521196,0.047607455,-0.003911075,81.06825585,3.27E+00,9.66E-01
-0.350538358,0.048555766,-0.003862474,81.05175266,3.249387302,1.003225397
-0.3556328,0.0494672,-0.0038816,81.0357,3.23E+00,1.04E+00
-0.360497509,0.050342107,-0.003967532,81.02009433,3.21E+00,1.08E+00
-0.365134706,0.051180838,-0.004119348,81.00493208,3.19E+00,1.11E+00
-0.369546613,0.051983741,-0.004336124,80.99020971,3.18E+00,1.15E+00
-0.373735453,0.052751168,-0.004616939,80.97592366,3.16E+00,1.18E+00
-0.377703447,0.053483467,-0.004960869,80.96207037,3.14E+00,1.22E+00
-0.381452817,0.054180988,-0.005366992,80.94864629,3.124942857,1.252114286
-0.384985786,0.054844082,-0.005834386,80.93564785,3.11E+00,1.29E+00
-0.388304575,0.055473099,-0.006362128,80.92307151,3.09E+00,1.32E+00
-0.391411407,0.056068388,-0.006949296,80.91091371,3.07E+00,1.35E+00
-0.394308502,0.056630298,-0.007594966,80.8991709,3.06E+00,1.39E+00
-0.396998084,0.057159181,-0.008298216,80.88783951,3.04E+00,1.42E+00
-0.399482374,0.057655386,-0.009058125,80.876916,3.03E+00,1.45E+00
-0.401763595,0.058119262,-0.009873768,80.8663968,3.01E+00,1.48E+00
-0.403843967,0.058551159,-0.010744225,80.85627837,2.99E+00,1.51E+00
-0.405725714,0.058951429,-0.011668571,80.84655714,2.98E+00,1.54E+00
-0.407411057,0.059320419,-0.012645886,80.83722957,2.96E+00,1.57E+00
-0.408902219,0.05965848,-0.013675245,80.82829208,2.95E+00,1.60E+00
-0.41020142,0.059965963,-0.014755727,80.81974114,2.93E+00,1.63E+00
-0.411310883,0.060243216,-0.015886408,80.81157319,2.92E+00,1.66E+00
-0.412232831,0.06049059,-0.017066368,80.80378466,2.91E+00,1.69E+00
-0.412969485,0.060708435,-0.018294682,80.796372,2.8918,1.7184
-0.413523067,0.0608971,-0.019570428,80.78933166,2.87788254,1.746234921
-0.413895799,0.061056936,-0.020892684,80.78266008,2.86E+00,1.77E+00
-0.414089903,0.061188292,-0.022260528,80.77635371,2.85E+00,1.80E+00
-0.414107601,0.061291517,-0.023673036,80.77040899,2.84E+00,1.83E+00
-0.413951115,0.061366963,-0.025129286,80.76482237,2.824244444,1.853511111
-0.413622667,0.061414979,-0.026628356,80.75959029,2.81E+00,1.88E+00
-0.413124479,0.061435914,-0.028169323,80.75470919,2.798644444,1.904711111
-0.412458773,0.061430119,-0.029751264,80.75017551,2.79E+00,1.93E+00
-0.411627771,0.061397943,-0.031373257,80.74598571,2.773857143,1.954285714
-0.410633696,0.061339736,-0.03303438,80.74213623,2.76E+00,1.98E+00
-0.409478768,0.061255849,-0.034733709,80.73862351,2.74988254,2.002234921
-0.40816521,0.06114663,-0.036470323,80.735444,2.7382,2.0256
-0.406695244,0.061012431,-0.038243299,80.73259414,2.73E+00,2.05E+00
-0.405071091,0.0608536,-0.040051714,80.73007037,2.72E+00,2.07E+00
-0.403294975,0.060670488,-0.041894645,80.72786914,2.704371429,2.093257143
-0.401369117,0.060463444,-0.043771171,80.7259869,2.693501587,2.114996825
-0.399295738,0.060232819,-0.045680368,80.72442008,2.68E+00,2.14E+00
-0.397077061,0.059978961,-0.047621314,80.72316514,2.67E+00,2.16E+00
-0.394715309,0.059702222,-0.049593086,80.72221852,2.662111111,2.177777778
-0.392212702,0.059402951,-0.051594763,80.72157666,2.65E+00,2.20E+00
-0.389571462,0.059081498,-0.053625421,80.721236,2.64E+00,2.22E+00
-0.386793813,0.058738212,-0.055684137,80.72119299,2.63E+00,2.24E+00
-0.383881975,0.058373444,-0.05776999,80.72144408,2.62E+00,2.26E+00
-0.380838171,0.057987543,-0.059882057,80.72198571,2.613857143,2.274285714
-0.377664623,0.057580859,-0.062019415,80.72281433,2.60E+00,2.29E+00
-0.374363553,0.057153743,-0.064181141,80.72392637,2.60E+00,2.31E+00
-0.370937182,0.056706544,-0.066366314,80.72531829,2.59E+00,2.33E+00
-0.367387733,0.056239611,-0.06857401,80.72698652,2.58E+00,2.34E+00
-0.363717428,0.055753295,-0.070803307,80.72892751,2.57E+00,2.36E+00
-0.359928488,0.055247946,-0.073053283,80.73113771,2.56E+00,2.38E+00
