X,Y,Z,Yaw,Pitch,Roll
1.666666667,-0.1593023,0,0,0,0
1.64934652,-0.154062322,0,0,0,0
1.632154291,-0.14889221,0,0,0,0
1.615089981,-0.143791964,0,0,0,0
1.59815359,-0.138761585,0,0,0,0
1.581345116,-0.133801073,0,0,0,0
1.564664561,-0.128910426,0,0,0,0
1.548111925,-0.124089646,0,0,0,0
1.531687207,-0.119338733,0,0,0,0
1.515390407,-0.114657685,0,0,0,0
1.499221525,-0.110046505,0,0,0,0
1.483180562,-0.10550519,0,0,0,0
1.467267518,-0.101033742,0,0,0,0
1.451482391,-0.09663216,0,0,0,0
1.435825183,-0.092300445,0,0,0,0
1.420295893,-0.088038596,0,0,0,0
1.404894522,-0.083846613,0,0,0,0
1.389621069,-0.079724497,0,0,0,0
1.374475535,-0.075672247,0,0,0,0
1.359457919,-0.071689864,0,0,0,0
1.344568221,-0.067777347,0,0,0,0
1.329806441,-0.063934696,0,0,0,0
1.31517258,-0.060161912,0,0,0,0
1.300666637,-0.056458994,0,0,0,0
1.286288613,-0.052825942,0,0,0,0
1.272038507,-0.049262757,0,0,0,0
1.257916319,-0.045769438,0,0,0,0
1.24392205,-0.042345986,0,0,0,0
1.230055699,-0.0389924,0,0,0,0
1.216317267,-0.03570868,0,0,0,0
1.202706753,-0.032494827,0,0,0,0
1.189224157,-0.02935084,0,0,0,0
1.175869479,-0.026276719,0,0,0,0
1.16264272,-0.023272465,0,0,0,0
1.14954388,-0.020338077,0,0,0,0
1.136572957,-0.017473556,0,0,0,0
1.123729953,-0.014678901,0,0,0,0
1.111014868,-0.011954112,0,0,0,0
1.098427701,-0.00929919,0,0,0,0
1.085968452,-0.006714134,0,0,0,0
1.073637121,-0.004198944,0,0,0,0
1.061433709,-0.001753621,0,0,0,0
1.049358215,0.000621836,0,0,0,0
1.03741064,0.002927426,0,0,0,0
1.025590983,0.00516315,0,0,0,0
1.013899244,0.007329008,0,0,0,0
1.002335424,0.009424999,0,0,0,0
0.990899522,0.011451124,0,0,0,0
0.979591538,0.013407383,0,0,0,0
0.968411473,0.015293775,0,0,0,0
0.957359326,0.017110301,0,0,0,0
0.946435098,0.01885696,0,0,0,0
0.935638788,0.020533753,0,0,0,0
0.924970396,0.02214068,0,0,0,0
0.914429923,0.02367774,0,0,0,0
0.904017368,0.025144934,0,0,0,0
0.893732731,0.026542261,0,0,0,0
0.883576013,0.027869723,0,0,0,0
0.873547213,0.029127317,0,0,0,0
0.863646331,0.030315046,0,0,0,0
0.853873368,0.031432908,0,0,0,0
0.844228323,0.032480903,0,0,0,0
0.834711197,0.033459033,0,0,0,0
0.825321989,0.034367296,0,0,0,0
0.816060699,0.035205692,0,0,0,0
0.806927328,0.035974222,0,0,0,0
0.797921875,0.036672886,0,0,0,0
0.78904434,0.037301683,0,0,0,0
0.780294724,0.037860614,0,0,0,0
0.771673026,0.038349679,0,0,0,0
0.763179247,0.038768877,0,0,0,0
0.754813385,0.039118209,0,0,0,0
0.746575443,0.039397675,0,0,0,0
0.738465418,0.039607274,0,0,0,0
0.730483312,0.039747007,0,0,0,0
0.722629124,0.039816873,0,0,0,0
0.714902855,0.039816873,0,0,0,0
0.707304504,0.039747007,0,0,0,0
0.699834072,0.039607274,0,0,0,0
0.692491557,0.039397675,0,0,0,0
0.685276962,0.039118209,0,0,0,0
0.678190284,0.038768877,0,0,0,0
0.671231525,0.038349679,0,0,0,0
0.664400684,0.037860614,0,0,0,0
0.657697762,0.037301683,0,0,0,0
0.651122758,0.036672886,0,0,0,0
0.644675672,0.035974222,0,0,0,0
0.638356505,0.035205692,0,0,0,0
0.632165256,0.034367296,0,0,0,0
0.626101925,0.033459033,0,0,0,0
0.620166513,0.032480903,0,0,0,0
0.614359019,0.031432908,0,0,0,0
0.608679444,0.030315046,0,0,0,0
0.603127787,0.029127317,0,0,0,0
0.597704048,0.027869723,0,0,0,0
0.592408228,0.026542261,0,0,0,0
0.587240326,0.025144934,0,0,0,0
0.582200342,0.02367774,0,0,0,0
0.577288277,0.02214068,0,0,0,0
0.57250413,0.020533753,0,0,0,0
0.567847901,0.01885696,0,0,0,0
0.563319591,0.017110301,0,0,0,0
0.558919199,0.015293775,0,0,0,0
0.554646726,0.013407383,0,0,0,0
0.550502171,0.011451124,0,0,0,0
0.546485534,0.009424999,0,0,0,0
0.542596816,0.007329008,0,0,0,0
0.538836016,0.00516315,0,0,0,0
0.535203134,0.002927426,0,0,0,0
0.531698171,0.000621836,0,0,0,0
0.528321126,-0.001753621,0,0,0,0
0.525072,-0.004198944,0,0,0,0
0.521950792,-0.006714134,0,0,0,0
0.518957502,-0.00929919,0,0,0,0
0.51609213,-0.011954112,0,0,0,0
0.513354677,-0.014678901,0,0,0,0
0.510745143,-0.017473556,0,0,0,0
0.508263526,-0.020338077,0,0,0,0
0.505909829,-0.023272465,0,0,0,0
0.503684049,-0.026276719,0,0,0,0
0.501586188,-0.02935084,0,0,0,0
0.499616245,-0.032494827,0,0,0,0
0.49777422,-0.03570868,0,0,0,0
0.496060114,-0.0389924,0,0,0,0
