X,Y,Z,Yaw,Pitch,Roll
0,0.25717,0,-15,-3,0
0,0.25341,0,-14.95,-2.9799,0
0,0.24965,0,-14.9,-2.9599,0
0,0.24588,0,-14.849,-2.9398,0
0,0.24212,0,-14.799,-2.9197,0
0,0.23836,0,-14.749,-2.8997,0
0,0.23459,0,-14.699,-2.8796,0
0,0.23083,0,-14.649,-2.8595,0
0,0.22707,0,-14.599,-2.8395,0
0,0.22331,0,-14.548,-2.8194,0
0,0.21954,0,-14.498,-2.7993,0
0,0.21578,0,-14.448,-2.7793,0
0,0.21202,0,-14.398,-2.7592,0
0,0.20826,0,-14.348,-2.7391,0
0,0.20449,0,-14.298,-2.7191,0
0,0.20073,0,-14.247,-2.699,0
0,0.19697,0,-14.197,-2.6789,0
0,0.19321,0,-14.147,-2.6589,0
0,0.18944,0,-14.097,-2.6388,0
0,0.18568,0,-14.047,-2.6187,0
0,0.18192,0,-13.997,-2.5987,0
0,0.17815,0,-13.946,-2.5786,0
0,0.17439,0,-13.896,-2.5585,0
0,0.17063,0,-13.846,-2.5385,0
0,0.16687,0,-13.796,-2.5184,0
0,0.1631,0,-13.746,-2.4983,0
0,0.15934,0,-13.696,-2.4783,0
0,0.15558,0,-13.645,-2.4582,0
0,0.15182,0,-13.595,-2.4381,0
0,0.14805,0,-13.545,-2.4181,0
0,0.14429,0,-13.495,-2.398,0
0,0.14053,0,-13.445,-2.3779,0
0,0.13677,0,-13.395,-2.3579,0
0,0.133,0,-13.344,-2.3378,0
0,0.12924,0,-13.294,-2.3177,0
0,0.12548,0,-13.244,-2.2977,0
0,0.12171,0,-13.194,-2.2776,0
0,0.11795,0,-13.144,-2.2575,0
0,0.11419,0,-13.094,-2.2375,0
0,0.11043,0,-13.043,-2.2174,0
0,0.11043,0,-12.993,-2.1973,0
0.0038462,0.11043,0,-12.943,-2.1773,0
0.0076923,0.11043,0,-12.893,-2.1572,0
0.011538,0.11043,0,-12.843,-2.1371,0
0.015385,0.11043,0,-12.793,-2.1171,0
0.019231,0.11043,0,-12.742,-2.097,0
0.023077,0.11043,0,-12.692,-2.0769,0
0.026923,0.11043,0,-12.642,-2.0569,0
0.030769,0.11043,0,-12.592,-2.0368,0
0.034615,0.11043,0,-12.542,-2.0167,0
0.038462,0.11043,0,-12.492,-1.9967,0
0.042308,0.11043,0,-12.441,-1.9766,0
0.046154,0.11043,0,-12.391,-1.9565,0
0.05,0.11043,0,-12.341,-1.9365,0
0.053846,0.11043,0,-12.291,-1.9164,0
0.057692,0.11043,0,-12.241,-1.8963,0
0.061538,0.11043,0,-12.191,-1.8763,0
0.065385,0.11043,0,-12.14,-1.8562,0
0.069231,0.11043,0,-12.09,-1.8361,0
0.073077,0.11043,0,-12.04,-1.8161,0
0.076923,0.11043,0,-11.99,-1.796,0
0.080769,0.11043,0,-11.94,-1.7759,0
0.084615,0.11043,0,-11.89,-1.7559,0
0.088462,0.11043,0,-11.839,-1.7358,0
0.092308,0.11043,0,-11.789,-1.7157,0
0.096154,0.11043,0,-11.739,-1.6957,0
0.1,0.11043,0,-11.689,-1.6756,0
0.10385,0.11043,0,-11.639,-1.6555,0
0.10769,0.11043,0,-11.589,-1.6355,0
0.11154,0.11043,0,-11.538,-1.6154,0
0.11538,0.11043,0,-11.488,-1.5953,0
0.11923,0.11043,0,-11.438,-1.5753,0
0.12308,0.11043,0,-11.388,-1.5552,0
0.12692,0.11043,0,-11.338,-1.5351,0
