X,Y,Z,Yaw,Pitch,Roll
0,0.21954,0,-10,0,0
0,0.21954,0,-9.9331,0,0
0,0.21954,0,-9.8662,0,0
0,0.21954,0,-9.7993,0,0
0,0.21954,0,-9.7324,0,0
0,0.21954,0,-9.6656,0,0
0,0.21954,0,-9.5987,0,0
0,0.21954,0,-9.5318,0,0
0,0.21954,0,-9.4649,0,0
0,0.21954,0,-9.398,0,0
0,0.21954,0,-9.3311,0,0
0,0.21578,0,-9.2642,0,0
0,0.21202,0,-9.1973,0,0
0,0.20826,0,-9.1304,0,0
0,0.20449,0,-9.0635,0,0
0,0.20073,0,-8.9967,0,0
0,0.19697,0,-8.9298,0,0
0,0.19321,0,-8.8629,0,0
0,0.18944,0,-8.796,0,0
0,0.18568,0,-8.7291,0,0
0,0.18192,0,-8.6622,0,0
0,0.17815,0,-8.5953,0,0
0,0.17439,0,-8.5284,0,0
0,0.17063,0,-8.4615,0,0
0,0.16687,0,-8.3946,0,0
0,0.1631,0,-8.3278,0,0
0,0.15934,0,-8.2609,0,0
0,0.15558,0,-8.194,0,0
0,0.15182,0,-8.1271,0,0
0,0.14805,0,-8.0602,0,0
0,0.14429,0,-7.9933,0,0
0,0.14053,0,-7.9264,0,0
0,0.13677,0,-7.8595,0,0
0,0.133,0,-7.7926,0,0
0,0.12924,0,-7.7258,0,0
0,0.12548,0,-7.6589,0,0
0,0.12171,0,-7.592,0,0
0,0.11795,0,-7.5251,0,0
0,0.11419,0,-7.4582,0,0
0,0.11043,0,-7.3913,0,0
0,0.11043,0,-7.3244,0,0
0.0038462,0.11043,0,-7.2575,0,0
0.0076923,0.11043,0,-7.1906,0,0
0.011538,0.11043,0,-7.1237,0,0
0.015385,0.11043,0,-7.0569,0,0
0.019231,0.11043,0,-6.99,0,0
0.023077,0.11043,0,-6.9231,0,0
0.026923,0.11043,0,-6.8562,0,0
0.030769,0.11043,0,-6.7893,0,0
0.034615,0.11043,0,-6.7224,0,0
0.038462,0.11043,0,-6.6555,0,0
0.042308,0.11043,0,-6.5886,0,0
0.046154,0.11043,0,-6.5217,0,0
0.05,0.11043,0,-6.4548,0,0
0.053846,0.11043,0,-6.388,0,0
0.057692,0.11043,0,-6.3211,0,0
0.061538,0.11043,0,-6.2542,0,0
0.065385,0.11043,0,-6.1873,0,0
0.069231,0.11043,0,-6.1204,0,0
0.073077,0.11043,0,-6.0535,0,0
0.076923,0.11043,0,-5.9866,0,0
0.080769,0.11043,0,-5.9197,0,0
0.084615,0.11043,0,-5.8528,0,0
0.088462,0.11043,0,-5.786,0,0
0.092308,0.11043,0,-5.7191,0,0
0.096154,0.11043,0,-5.6522,0,0
0.1,0.11043,0,-5.5853,0,0
0.10385,0.11043,0,-5.5184,0,0
0.10769,0.11043,0,-5.4515,0,0
0.11154,0.11043,0,-5.3846,0,0
0.11538,0.11043,0,-5.3177,0,0
0.11923,0.11043,0,-5.2508,0,0
0.12308,0.11043,0,-5.1839,0,0
0.12692,0.11043,0,-5.1171,0,0
0.13077,0.11043,0,-5.0502,0,0
0.13462,0.11043,0,-4.9833,0,0
0.13846,0.11043,0,-4.9164,0,0
0.14231,0.11043,0,-4.8495,0,0
0.14615,0.11043,0,-4.7826,0,0
0.15,0.11043,0,-4.7157,0,0
0.15,0.11043,0,-4.6488,0,0
0.15,0.11043,0,-4.5819,0,0
0.15,0.11043,0,-4.5151,0,0
0.15,0.11043,0,-4.4482,0,0
0.15,0.11043,0,-4.3813,0,0
0.15,0.11043,0,-4.3144,0,0
0.15,0.11043,0,-4.2475,0,0
0.15,0.11043,0,-4.1806,0,0
0.15,0.11043,0,-4.1137,0,0
0.15,0.11043,0,-4.0468,0,0
0.15,0.11043,0,-3.9799,0,0
0.15,0.11043,0,-3.913,0,0
0.15,0.11043,0,-3.8462,0,0
0.15,0.11043,0,-3.7793,0,0
0.15,0.11043,0,-3.7124,0,0
0.15,0.11043,0,-3.6455,0,0
0.15,0.11043,0,-3.5786,0,0
0.15,0.11043,0,-3.5117,0,0
0.15,0.11043,0,-3.4448,0,0
0.15,0.11043,0,-3.3779,0,0
0.15,0.11043,0,-3.311,0,0
0.15,0.11043,0,-3.2441,0,0
0.15,0.11043,0,-3.1773,0,0
0.15,0.11043,0,-3.1104,0,0
0.15,0.11043,0,-3.0435,0,0
0.15,0.11043,0,-2.9766,0,0
0.15,0.11043,0,-2.9097,0,0
0.15,0.11043,0,-2.8428,0,0
0.15,0.11043,0,-2.7759,0,0
0.15,0.11043,0,-2.709,0,0
0.15,0.11043,0,-2.6421,0,0
0.15,0.11043,0,-2.5753,0,0
0.15,0.11043,0,-2.5084,0,0
0.15,0.11043,0,-2.4415,0,0
0.15,0.11043,0,-2.3746,0,0
0.15,0.11043,0,-2.3077,0,0
0.15,0.11043,0,-2.2408,0,0
0.15,0.11043,0,-2.1739,0,0
0.15,0.11043,0,-2.107,0,0
0.15,0.11043,0,-2.0401,0,0
0.15,0.11043,0,-1.9732,0,0
0.15,0.10668,0,-1.9064,0,0
0.15,0.10293,0,-1.8395,0,0
0.15,0.099185,0,-1.7726,0,0
0.15,0.095437,0,-1.7057,0,0
0.15,0.09169,0,-1.6388,0,0
0.15,0.087943,0,-1.5719,0,0
0.15,0.084195,0,-1.505,0,0
0.15,0.080448,0,-1.4381,0,0
0.15,0.076701,0,-1.3712,0,0
0.15,0.072953,0,-1.3043,0,0
0.15,0.069206,0,-1.2375,0,0
0.15,0.065459,0,-1.1706,0,0
0.15,0.061712,0,-1.1037,0,0
0.15,0.057964,0,-1.0368,0,0
0.15,0.054217,0,-0.9699,0,0
0.15,0.05047,0,-0.90301,0,0
0.15,0.046722,0,-0.83612,0,0
0.15,0.042975,0,-0.76923,0,0
0.15,0.039228,0,-0.70234,0,0
0.15,0.03548,0,-0.63545,0,0
0.15,0.031733,0,-0.56856,0,0
0.15,0.027986,0,-0.50167,0,0
0.15,0.024238,0,-0.43478,0,0
0.15,0.020491,0,-0.36789,0,0
0.15,0.016744,0,-0.301,0,0
0.15,0.012997,0,-0.23411,0,0
0.15,0.0092492,0,-0.16722,0,0
0.15,0.0055019,0,-0.10033,0,0
0.15,0.0017546,0,-0.033445,0,0
0.15,-0.0019927,0,0.033445,0,0
0.15,-0.0057401,0,0.10033,0,0
0.15,-0.0094874,0,0.16722,0,0
0.15,-0.013235,0,0.23411,0,0
0.15,-0.016982,0,0.301,0,0
0.15,-0.020729,0,0.36789,0,0
0.15,-0.024477,0,0.43478,0,0
0.15,-0.028224,0,0.50167,0,0
0.15,-0.031971,0,0.56856,0,0
0.15,-0.035719,0,0.63545,0,0
0.15,-0.039466,0,0.70234,0,0
0.15,-0.043213,0,0.76923,0,0
0.15,-0.04696,0,0.83612,0,0
0.15,-0.050708,0,0.90301,0,0
0.15,-0.054455,0,0.9699,0,0
0.15,-0.058202,0,1.0368,0,0
0.15,-0.06195,0,1.1037,0,0
0.15,-0.065697,0,1.1706,0,0
0.15,-0.069444,0,1.2375,0,0
0.15,-0.073192,0,1.3043,0,0
0.15,-0.076939,0,1.3712,0,0
0.15,-0.080686,0,1.4381,0,0
0.15,-0.084434,0,1.505,0,0
0.15,-0.088181,0,1.5719,0,0
0.15,-0.091928,0,1.6388,0,0
0.15,-0.091928,0,1.7057,0,0
0.14615,-0.091928,0,1.7726,0,0
0.14231,-0.091928,0,1.8395,0,0
0.13846,-0.091928,0,1.9064,0,0
0.13462,-0.091928,0,1.9732,0,0
0.13077,-0.091928,0,2.0401,0,0
0.12692,-0.091928,0,2.107,0,0
0.12308,-0.091928,0,2.1739,0,0
0.11923,-0.091928,0,2.2408,0,0
0.11538,-0.091928,0,2.3077,0,0
0.11154,-0.091928,0,2.3746,0,0
0.10769,-0.091928,0,2.4415,0,0
0.10385,-0.091928,0,2.5084,0,0
0.1,-0.091928,0,2.5753,0,0
0.096154,-0.091928,0,2.6421,0,0
0.092308,-0.091928,0,2.709,0,0
0.088462,-0.091928,0,2.7759,0,0
0.084615,-0.091928,0,2.8428,0,0
0.080769,-0.091928,0,2.9097,0,0
0.076923,-0.091928,0,2.9766,0,0
0.073077,-0.091928,0,3.0435,0,0
0.069231,-0.091928,0,3.1104,0,0
0.065385,-0.091928,0,3.1773,0,0
0.061538,-0.091928,0,3.2441,0,0
0.057692,-0.091928,0,3.311,0,0
0.053846,-0.091928,0,3.3779,0,0
0.05,-0.091928,0,3.4448,0,0
0.046154,-0.091928,0,3.5117,0,0
0.042308,-0.091928,0,3.5786,0,0
0.038462,-0.091928,0,3.6455,0,0
0.034615,-0.091928,0,3.7124,0,0
0.030769,-0.091928,0,3.7793,0,0
