X,Y,Z,Yaw,Pitch,Roll
0.025176426,0.001966522,-0.005262446,2.91505,-1.355,-2.91804
0.024877051,-6.08351E-05,-0.004685363,2.894625,-1.351795,-2.89768
0.024578926,-0.002064942,-0.00410828,2.8742,-1.34859,-2.87732
0.024249239,-0.004168317,-0.003500155,2.856295,-1.34493,-2.858965
0.023855176,-0.006493478,-0.002829947,2.83839,-1.34127,-2.84061
0.023386426,-0.009051433,-0.002099634,2.82646,-1.340305,-2.82847
0.022832676,-0.011853192,-0.001311196,2.81453,-1.33934,-2.81633
0.022189551,-0.014828536,-0.000486301,2.800875,-1.337555,-2.804175
0.021452676,-0.017907246,0.000353387,2.78722,-1.33577,-2.79202
0.020589864,-0.021114688,0.001213804,2.77669,-1.33491,-2.784675
0.019568926,-0.024476228,0.002100887,2.76616,-1.33405,-2.77733
0.018397989,-0.027987567,0.003014324,2.75734,-1.335545,-2.773515
0.017085176,-0.031644407,0.003953804,2.74852,-1.33704,-2.7697
0.015671426,-0.035408724,0.004913283,2.74599,-1.34085,-2.77204
0.014197676,-0.039242496,0.00588672,2.74346,-1.34466,-2.77438
0.012680176,-0.043165907,0.006883699,2.7412,-1.348115,-2.777475
0.011135176,-0.047199139,0.007913804,2.73894,-1.35157,-2.78057
0.009631114,-0.051097732,0.008919325,2.736815,-1.356335,-2.78273
0.008236426,-0.054617228,0.009842554,2.73469,-1.3611,-2.78489
0.006887051,-0.057805518,0.01070172,2.729815,-1.36531,-2.78327
0.005518926,-0.060710496,0.011515054,2.72494,-1.36952,-2.78165
0.003964864,-0.063761027,0.012387658,2.715265,-1.37413,-2.77341
0.002057676,-0.067385978,0.013424637,2.70559,-1.37874,-2.76517
-0.000112637,-0.071341652,0.014549325,2.70539,-1.37951,-2.763845
-0.002456074,-0.075384353,0.015685054,2.70519,-1.38028,-2.76252
-0.004745137,-0.079110822,0.016725575,2.696615,-1.38611,-2.75181
-0.006752324,-0.082117799,0.017564637,2.68804,-1.39194,-2.7411
-0.008546387,-0.08464834,0.018269116,2.69374,-1.39516,-2.74589
-0.010196074,-0.086945496,0.018905887,2.69944,-1.39838,-2.75068
-0.011970762,-0.089409822,0.019574429,2.70429,-1.40079,-2.755935
-0.014139824,-0.092441871,0.02037422,2.70914,-1.4032,-2.76119
-0.016618887,-0.095857103,0.021252033,2.710795,-1.403075,-2.76398
-0.019323574,-0.099470978,0.022154637,2.71245,-1.40295,-2.76677
-0.022102012,-0.103065969,0.023020991,2.709065,-1.40746,-2.76717
-0.024802324,-0.10642455,0.023790053,2.70568,-1.41197,-2.76757
